treatment;noIntroEvent;entryPoint_1;firstIntro;size;event1_time;event1_size;event2_time;event2_size;event3_time;event3_size;probEstablish;reps
A101m;one;1;101;13;101;13;0;0;0;0;1,0000000000000000;29
A105s;one;1;105;19;105;19;0;0;0;0;1,0000000000000000;30
A10p;one;1;10;16;10;16;0;0;0;0;1,0000000000000000;30
A112r;one;1;112;18;112;18;0;0;0;0;1,0000000000000000;30
A113c;one;1;113;3;113;3;0;0;0;0;0,3333333333333333;30
A114t;one;1;114;20;114;20;0;0;0;0;1,0000000000000000;30
A120i;one;1;120;9;120;9;0;0;0;0;0,8333333333333334;30
A123f;one;1;123;6;123;6;0;0;0;0;0,7666666666666667;30
A123q;one;1;123;17;123;17;0;0;0;0;1,0000000000000000;29
A126a;one;1;126;1;126;1;0;0;0;0;0,0000000000000000;50
A126t;one;1;126;20;126;20;0;0;0;0;1,0000000000000000;30
A130n;one;1;130;14;130;14;0;0;0;0;0,9666666666666667;30
A137r;one;1;137;18;137;18;0;0;0;0;1,0000000000000000;30
A145h;one;1;145;8;145;8;0;0;0;0;0,9333333333333333;30
A148i;one;1;148;9;148;9;0;0;0;0;0,9333333333333333;30
A154n;one;1;154;14;154;14;0;0;0;0;1,0000000000000000;30
A158o;one;1;158;15;158;15;0;0;0;0;1,0000000000000000;30
A164o;one;1;164;15;164;15;0;0;0;0;1,0000000000000000;30
A168f;one;1;168;6;168;6;0;0;0;0;0,6600000000000000;50
A168r;one;1;168;18;168;18;0;0;0;0;0,9666666666666667;30
A175d;one;1;175;4;175;4;0;0;0;0;0,4000000000000000;30
A177n;one;1;177;14;177;14;0;0;0;0;1,0000000000000000;30
A178j;one;1;178;10;178;10;0;0;0;0;0,9666666666666667;30
A181s;one;1;181;19;181;19;0;0;0;0;1,0000000000000000;30
A184c;one;1;184;3;184;3;0;0;0;0;0,2333333333333333;30
A187s;one;1;187;19;187;19;0;0;0;0;1,0000000000000000;30
A196l;one;1;196;12;196;12;0;0;0;0;1,0000000000000000;30
A198m;one;1;198;13;198;13;0;0;0;0;0,9655172413793104;29
A19i;one;1;19;9;19;9;0;0;0;0;0,9000000000000000;30
A202l;one;1;202;12;202;12;0;0;0;0;0,9666666666666667;30
A207b;one;1;207;2;207;2;0;0;0;0;0,1200000000000000;50
A208q;one;1;208;17;208;17;0;0;0;0;1,0000000000000000;29
A210f;one;1;210;6;210;6;0;0;0;0;0,7666666666666667;30
A213m;one;1;213;13;213;13;0;0;0;0;0,9666666666666667;30
A216d;one;1;216;4;216;4;0;0;0;0;0,5000000000000000;30
A218t;one;1;218;20;218;20;0;0;0;0;1,0000000000000000;30
A222p;one;1;222;16;222;16;0;0;0;0;1,0000000000000000;30
A227e;one;1;227;5;227;5;0;0;0;0;0,6333333333333333;30
A228o;one;1;228;15;228;15;0;0;0;0;1,0000000000000000;30
A22r;one;1;22;18;22;18;0;0;0;0;1,0000000000000000;30
A235r;one;1;235;18;235;18;0;0;0;0;1,0000000000000000;30
A236b;one;1;236;2;236;2;0;0;0;0;0,1400000000000000;50
A240i;one;1;240;9;240;9;0;0;0;0;0,8666666666666667;30
A242c;one;1;242;3;242;3;0;0;0;0;0,2333333333333333;30
A244o;one;1;244;15;244;15;0;0;0;0;1,0000000000000000;30
A245g;one;1;245;7;245;7;0;0;0;0;0,7666666666666667;30
A24o;one;1;24;15;24;15;0;0;0;0;1,0000000000000000;30
A250r;one;1;250;18;250;18;0;0;0;0;1,0000000000000000;30
A252f;one;1;252;6;252;6;0;0;0;0;0,8000000000000000;30
A255q;one;1;255;17;255;17;0;0;0;0;0,9666666666666667;30
A256i;one;1;256;9;256;9;0;0;0;0;0,9333333333333333;30
A263n;one;1;263;14;263;14;0;0;0;0;1,0000000000000000;30
A271n;one;1;271;14;271;14;0;0;0;0;1,0000000000000000;30
A276o;one;1;276;15;276;15;0;0;0;0;1,0000000000000000;30
A284k;one;1;284;11;284;11;0;0;0;0;1,0000000000000000;30
A290c;one;1;290;3;290;3;0;0;0;0;0,2666666666666667;30
A293h;one;1;293;8;293;8;0;0;0;0;0,8800000000000000;50
A296q;one;1;296;17;296;17;0;0;0;0;1,0000000000000000;30
A298e;one;1;298;5;298;5;0;0;0;0;0,7000000000000000;30
A29j;one;1;29;10;29;10;0;0;0;0;1,0000000000000000;50
A304f;one;1;304;6;304;6;0;0;0;0;0,8333333333333334;30
A311t;one;1;311;20;311;20;0;0;0;0;1,0000000000000000;30
A315k;one;1;315;11;315;11;0;0;0;0;1,0000000000000000;30
A324n;one;1;324;14;324;14;0;0;0;0;0,9666666666666667;30
A327r;one;1;327;18;327;18;0;0;0;0;1,0000000000000000;30
A331p;one;1;331;16;331;16;0;0;0;0;1,0000000000000000;30
A332c;one;1;332;3;332;3;0;0;0;0;0,4000000000000000;30
A334q;one;1;334;17;334;17;0;0;0;0;1,0000000000000000;30
A336k;one;1;336;11;336;11;0;0;0;0;1,0000000000000000;30
A338q;one;1;338;17;338;17;0;0;0;0;1,0000000000000000;30
A344h;one;1;344;8;344;8;0;0;0;0;0,8666666666666667;30
A344s;one;1;344;19;344;19;0;0;0;0;0,9666666666666667;30
A349d;one;1;349;4;349;4;0;0;0;0;0,4333333333333333;30
A354g;one;1;354;7;354;7;0;0;0;0;0,8666666666666667;30
A356p;one;1;356;16;356;16;0;0;0;0;0,9666666666666667;30
A357h;one;1;357;8;357;8;0;0;0;0;0,7666666666666667;30
A362e;one;1;362;5;362;5;0;0;0;0;0,6000000000000000;30
A36q;one;1;36;17;36;17;0;0;0;0;1,0000000000000000;32
A41e;one;1;41;5;41;5;0;0;0;0;0,7000000000000000;30
A43s;one;1;43;19;43;19;0;0;0;0;1,0000000000000000;30
A45i;one;1;45;9;45;9;0;0;0;0;0,9666666666666667;30
A45o;one;1;45;15;45;15;0;0;0;0;0,9666666666666667;30
A4s;one;1;4;19;4;19;0;0;0;0;1,0000000000000000;30
A51e;one;1;51;5;51;5;0;0;0;0;0,6333333333333333;30
A57q;one;1;57;17;57;17;0;0;0;0;1,0000000000000000;30
A60a;one;1;60;1;60;1;0;0;0;0;0,0000000000000000;50
A61m;one;1;61;13;61;13;0;0;0;0;1,0000000000000000;29
A66l;one;1;66;12;66;12;0;0;0;0;1,0000000000000000;50
A68e;one;1;68;5;68;5;0;0;0;0;0,6000000000000000;30
A72r;one;1;72;18;72;18;0;0;0;0;1,0000000000000000;30
A73h;one;1;73;8;73;8;0;0;0;0;0,9000000000000000;30
A75g;one;1;75;7;75;7;0;0;0;0;0,8000000000000000;30
A7c;one;1;7;3;7;3;0;0;0;0;0,4333333333333333;30
A80k;one;1;80;11;80;11;0;0;0;0;1,0000000000000000;30
A82n;one;1;82;14;82;14;0;0;0;0;1,0000000000000000;30
A88d;one;1;88;4;88;4;0;0;0;0;0,5200000000000000;50
A89p;one;1;89;16;89;16;0;0;0;0;1,0000000000000000;30
A95b;one;1;95;2;95;2;0;0;0;0;0,2000000000000000;50
A98p;one;1;98;16;98;16;0;0;0;0;1,0000000000000000;30
A99k;one;1;99;11;99;11;0;0;0;0;0,9666666666666667;30
Ac123a640b;two;1;123;3;123;1;640;2;0;0;0,4000000000000000;30
Ac148b352a;two;1;148;3;148;2;352;1;0;0;0,3000000000000000;30
Ac219a236a571a;three;1;219;3;219;1;236;1;571;1;0,2000000000000000;30
Ac223b288a;two;1;223;3;223;2;288;1;0;0;0,3000000000000000;30
Ac234a260b;two;1;234;3;234;1;260;2;0;0;0,3333333333333333;30
Ac273b458a;two;1;273;3;273;2;458;1;0;0;0,3448275862068966;29
Ac332a440b;two;1;332;3;332;1;440;2;0;0;0,1379310344827586;29
Ac34a498a281a;three;1;34;3;34;1;498;1;281;1;0,2000000000000000;30
Ac43a397b;two;1;43;3;43;1;397;2;0;0;0,4827586206896552;29
Ac78b20a;two;1;20;3;78;2;20;1;0;0;0,2666666666666667;30
Ad12a322b203a;three;1;12;4;12;1;322;2;203;1;0,5333333333333333;30
Ad134a641b321a;three;1;134;4;134;1;641;2;321;1;0,2333333333333333;30
Ad13c322a;two;1;13;4;13;3;322;1;0;0;0,5000000000000000;30
Ad147a354b74a;three;1;74;4;147;1;354;2;74;1;0,5666666666666667;30
Ad151b456b;two;1;151;4;151;2;456;2;0;0;0,5333333333333333;30
Ad17a396b622a;three;1;17;4;17;1;396;2;622;1;0,4000000000000000;30
Ad222a3b153a;three;1;3;4;222;1;3;2;153;1;0,4827586206896552;29
Ad234a260b671a;three;1;234;4;234;1;260;2;671;1;0,4666666666666667;30
Ad273a460b341a;three;1;273;4;273;1;460;2;341;1;0,3333333333333333;30
Ad31a289b393a;three;1;31;4;31;1;289;2;393;1;0,4827586206896552;29
Ad331a438b345a;three;1;331;4;331;1;438;2;345;1;0,4333333333333333;30
Ad363a266c;two;1;266;4;363;1;266;3;0;0;0,5600000000000001;50
Ad52c502a;two;1;52;4;52;3;502;1;0;0;0,6666666666666666;30
Ae125a700b20b;three;1;20;5;125;1;700;2;20;2;0,4666666666666667;30
Ae126d697a;two;1;126;5;126;4;697;1;0;0;0,6333333333333333;30
Ae152a457b703b;three;1;152;5;152;1;457;2;703;2;0,4482758620689655;29
Ae164a544d;two;1;164;5;164;1;544;4;0;0;0,5333333333333333;30
Ae175d72a;two;1;72;5;175;4;72;1;0;0;0,7666666666666667;30
Ae179a103b304b;three;1;103;5;179;1;103;2;304;2;0,7333333333333333;30
Ae245d644a;two;1;245;5;245;4;644;1;0;0;0,5333333333333333;30
Ae276d285a;two;1;276;5;276;4;285;1;0;0;0,7000000000000000;30
Ae30c617b;two;1;30;5;30;3;617;2;0;0;0,6000000000000000;30
Ae322a265b472b;three;1;265;5;322;1;265;2;472;2;0,5666666666666667;30
Ae93b688c;two;1;93;5;93;2;688;3;0;0;0,4666666666666667;30
Af123a136e;two;1;123;6;123;1;136;5;0;0;0,7500000000000000;28
Af165b541b129b;three;1;129;6;165;2;541;2;129;2;0,6333333333333333;30
Af175a73c329b;three;1;73;6;175;1;73;3;329;2;0,7333333333333333;30
Af223a618c504b;three;1;223;6;223;1;618;3;504;2;0,6666666666666666;30
Af246a645c98b;three;1;98;6;246;1;645;3;98;2;0,7666666666666667;30
Af275a282c115b;three;1;115;6;275;1;282;3;115;2;0,8666666666666667;30
Af299d691b;two;1;299;6;299;4;691;2;0;0;0,7666666666666667;30
Af302b251d;two;1;251;6;302;2;251;4;0;0;0,7959183673469388;49
Af353b423d;two;1;353;6;353;2;423;4;0;0;0,6666666666666666;30
Af7b296d;two;1;7;6;7;2;296;4;0;0;0,6666666666666666;30
Af83b278b24b;three;1;24;6;83;2;278;2;24;2;0,8333333333333334;30
Af93b688b458b;three;1;93;6;93;2;688;2;458;2;0,6333333333333333;30
Ag107d148b406a;three;1;107;7;107;4;148;2;406;1;0,8666666666666667;30
Ag166a511c598c;three;1;166;7;166;1;511;3;598;3;0,6000000000000000;30
Ag203b159e;two;1;159;7;203;2;159;5;0;0;0,8666666666666667;30
Ag204a301c719c;three;1;204;7;204;1;301;3;719;3;0,7000000000000000;30
Ag239a426c508c;three;1;239;7;239;1;426;3;508;3;0,7333333333333333;30
Ag239a427f;two;1;239;7;239;1;427;6;0;0;0,8666666666666667;30
Ag298a252c198c;three;1;198;7;298;1;252;3;198;3;0,9000000000000000;30
Ag301a68f;two;1;68;7;301;1;68;6;0;0;0,7333333333333333;30
Ag302c693b524b;three;1;302;7;302;3;693;2;524;2;0,7000000000000000;30
Ag313f34a;two;1;34;7;313;6;34;1;0;0;0,9000000000000000;30
Ag337a554c284c;three;1;284;7;337;1;554;3;284;3;0,7666666666666667;30
Ag360c586d;two;1;360;7;360;3;586;4;0;0;0,7000000000000000;30
Ag74b44c402b;three;1;44;7;74;2;44;3;402;2;0,8333333333333334;30
Ah124a586d526c;three;1;124;8;124;1;586;4;526;3;0,7000000000000000;30
Ah169b8c137c;three;1;8;8;169;2;8;3;137;3;0,8666666666666667;30
Ah250e347c;two;1;250;8;250;5;347;3;0;0;0,8666666666666667;30
Ah300b67c593c;three;1;67;8;300;2;67;3;593;3;0,8666666666666667;30
Ah312d34b163b;three;1;34;8;312;4;34;2;163;2;1,0000000000000000;30
Ah95a63d656c;three;1;63;8;95;1;63;4;656;3;0,8000000000000000;30
Ah95g429a;two;1;95;8;95;7;429;1;0;0;0,8666666666666667;30
Ai110g9b;two;1;9;9;110;7;9;2;0;0;0,9000000000000000;30
Ai129d533e;two;1;129;9;129;4;533;5;0;0;0,7000000000000000;30
Ai163a277h;two;1;163;9;163;1;277;8;0;0;0,9000000000000000;30
Ai338f185c;two;1;185;9;338;6;185;3;0;0;0,9333333333333333;30
Ai342a125e631c;three;1;125;9;342;1;125;5;631;3;0,8666666666666667;30
Ai350e344b292b;three;1;292;9;350;5;344;2;292;2;0,9666666666666667;30
Ai5g127b;two;1;5;9;5;7;127;2;0;0;0,9800000000000000;50
Ai91d196e;two;1;91;9;91;4;196;5;0;0;0,9333333333333333;30
