treatment;entryPoint_1;firstIntro;size;maxTS;finalPopSize;popGrowth;established;rep
A101m;1;101;13;1095;41;3,153846153846154;1;1
A101m;1;101;13;1095;55;4,230769230769231;1;2
A101m;1;101;13;1095;89;6,846153846153846;1;3
A101m;1;101;13;1095;56;4,307692307692307;1;4
A101m;1;101;13;1095;69;5,307692307692307;1;5
A101m;1;101;13;1095;56;4,307692307692307;1;6
A101m;1;101;13;1095;26;2,000000000000000;1;7
A101m;1;101;13;1095;43;3,307692307692307;1;8
A101m;1;101;13;1095;37;2,846153846153846;1;9
A101m;1;101;13;1095;38;2,923076923076923;1;10
A101m;1;101;13;1095;38;2,923076923076923;1;11
A101m;1;101;13;1095;54;4,153846153846154;1;12
A101m;1;101;13;1095;59;4,538461538461538;1;13
A101m;1;101;13;1095;57;4,384615384615385;1;14
A101m;1;101;13;1095;45;3,461538461538462;1;15
A101m;1;101;13;1095;75;5,769230769230769;1;16
A101m;1;101;13;1095;49;3,769230769230769;1;17
A101m;1;101;13;1095;84;6,461538461538462;1;18
A101m;1;101;13;1095;74;5,692307692307693;1;19
A101m;1;101;13;1095;27;2,076923076923077;1;20
A101m;1;101;13;1095;50;3,846153846153846;1;21
A101m;1;101;13;1095;57;4,384615384615385;1;22
A101m;1;101;13;1095;63;4,846153846153846;1;23
A101m;1;101;13;1095;29;2,230769230769231;1;24
A101m;1;101;13;1095;49;3,769230769230769;1;25
A101m;1;101;13;1095;44;3,384615384615385;1;26
A101m;1;101;13;1095;52;4,000000000000000;1;27
A101m;1;101;13;1095;110;8,461538461538462;1;28
A101m;1;101;13;1095;76;5,846153846153846;1;29
A105s;1;105;19;1095;144;7,578947368421052;1;1
A105s;1;105;19;1095;93;4,894736842105263;1;2
A105s;1;105;19;1095;107;5,631578947368421;1;3
A105s;1;105;19;1095;48;2,526315789473684;1;4
A105s;1;105;19;1095;79;4,157894736842105;1;5
A105s;1;105;19;1095;105;5,526315789473684;1;6
A105s;1;105;19;1095;30;1,578947368421053;1;7
A105s;1;105;19;1095;71;3,736842105263158;1;8
A105s;1;105;19;1095;78;4,105263157894737;1;9
A105s;1;105;19;1095;47;2,473684210526316;1;10
A105s;1;105;19;1095;48;2,526315789473684;1;11
A105s;1;105;19;1095;92;4,842105263157895;1;12
A105s;1;105;19;1095;118;6,210526315789473;1;13
A105s;1;105;19;1095;101;5,315789473684211;1;14
A105s;1;105;19;1095;119;6,263157894736842;1;15
A105s;1;105;19;1095;88;4,631578947368421;1;16
A105s;1;105;19;1095;144;7,578947368421052;1;17
A105s;1;105;19;1095;129;6,789473684210527;1;18
A105s;1;105;19;1095;49;2,578947368421053;1;19
A105s;1;105;19;1095;120;6,315789473684211;1;20
A105s;1;105;19;1095;69;3,631578947368421;1;21
A105s;1;105;19;1095;95;5,000000000000000;1;22
A105s;1;105;19;1095;100;5,263157894736842;1;23
A105s;1;105;19;1095;70;3,684210526315789;1;24
A105s;1;105;19;1095;88;4,631578947368421;1;25
A105s;1;105;19;1095;141;7,421052631578948;1;26
A105s;1;105;19;1095;58;3,052631578947369;1;27
A105s;1;105;19;1095;100;5,263157894736842;1;28
A105s;1;105;19;1095;107;5,631578947368421;1;29
A105s;1;105;19;1095;98;5,157894736842105;1;30
A10p;1;10;16;1095;75;4,687500000000000;1;1
A10p;1;10;16;1095;126;7,875000000000000;1;2
A10p;1;10;16;1095;73;4,562500000000000;1;3
A10p;1;10;16;1095;102;6,375000000000000;1;4
A10p;1;10;16;1095;115;7,187500000000000;1;5
A10p;1;10;16;1095;121;7,562500000000000;1;6
A10p;1;10;16;1095;81;5,062500000000000;1;7
A10p;1;10;16;1095;85;5,312500000000000;1;8
A10p;1;10;16;1095;106;6,625000000000000;1;9
A10p;1;10;16;1095;72;4,500000000000000;1;10
A10p;1;10;16;1095;79;4,937500000000000;1;11
A10p;1;10;16;1095;109;6,812500000000000;1;12
A10p;1;10;16;1095;65;4,062500000000000;1;13
A10p;1;10;16;1095;104;6,500000000000000;1;14
A10p;1;10;16;1095;65;4,062500000000000;1;15
A10p;1;10;16;1095;89;5,562500000000000;1;16
A10p;1;10;16;1095;80;5,000000000000000;1;17
A10p;1;10;16;1095;109;6,812500000000000;1;18
A10p;1;10;16;1095;141;8,812500000000000;1;19
A10p;1;10;16;1095;64;4,000000000000000;1;20
A10p;1;10;16;1095;61;3,812500000000000;1;21
A10p;1;10;16;1095;97;6,062500000000000;1;22
A10p;1;10;16;1095;86;5,375000000000000;1;23
A10p;1;10;16;1095;93;5,812500000000000;1;24
A10p;1;10;16;1095;49;3,062500000000000;1;25
A10p;1;10;16;1095;69;4,312500000000000;1;26
A10p;1;10;16;1095;101;6,312500000000000;1;27
A10p;1;10;16;1095;80;5,000000000000000;1;28
A10p;1;10;16;1095;98;6,125000000000000;1;29
A10p;1;10;16;1095;110;6,875000000000000;1;30
A112r;1;112;18;1095;87;4,833333333333333;1;1
A112r;1;112;18;1095;82;4,555555555555555;1;2
A112r;1;112;18;1095;102;5,666666666666667;1;3
A112r;1;112;18;1095;112;6,222222222222222;1;4
A112r;1;112;18;1095;65;3,611111111111111;1;5
A112r;1;112;18;1095;95;5,277777777777778;1;6
A112r;1;112;18;1095;97;5,388888888888889;1;7
A112r;1;112;18;1095;54;3,000000000000000;1;8
A112r;1;112;18;1095;69;3,833333333333333;1;9
A112r;1;112;18;1095;81;4,500000000000000;1;10
A112r;1;112;18;1095;43;2,388888888888889;1;11
A112r;1;112;18;1095;78;4,333333333333333;1;12
A112r;1;112;18;1095;71;3,944444444444445;1;13
A112r;1;112;18;1095;83;4,611111111111111;1;14
A112r;1;112;18;1095;65;3,611111111111111;1;15
A112r;1;112;18;1095;74;4,111111111111111;1;16
A112r;1;112;18;1095;88;4,888888888888889;1;17
A112r;1;112;18;1095;72;4,000000000000000;1;18
A112r;1;112;18;1095;75;4,166666666666667;1;19
A112r;1;112;18;1095;61;3,388888888888889;1;20
A112r;1;112;18;1095;104;5,777777777777778;1;21
A112r;1;112;18;1095;87;4,833333333333333;1;22
A112r;1;112;18;1095;73;4,055555555555555;1;23
A112r;1;112;18;1095;91;5,055555555555555;1;24
A112r;1;112;18;1095;49;2,722222222222222;1;25
A112r;1;112;18;1095;62;3,444444444444445;1;26
A112r;1;112;18;1095;56;3,111111111111111;1;27
A112r;1;112;18;1095;39;2,166666666666667;1;28
A112r;1;112;18;1095;82;4,555555555555555;1;29
A112r;1;112;18;1095;67;3,722222222222222;1;30
A113c;1;113;3;1095;2;0,666666666666667;0;1
A113c;1;113;3;978;1;0,333333333333333;0;2
A113c;1;113;3;1095;4;1,333333333333333;1;3
A113c;1;113;3;1095;2;0,666666666666667;0;4
A113c;1;113;3;1095;2;0,666666666666667;0;5
A113c;1;113;3;1095;5;1,666666666666667;1;6
A113c;1;113;3;1095;6;2,000000000000000;1;7
A113c;1;113;3;1095;4;1,333333333333333;1;8
A113c;1;113;3;1095;2;0,666666666666667;0;9
A113c;1;113;3;1095;6;2,000000000000000;1;10
A113c;1;113;3;1095;1;0,333333333333333;0;11
A113c;1;113;3;1095;1;0,333333333333333;0;12
A113c;1;113;3;1095;7;2,333333333333333;1;13
A113c;1;113;3;942;1;0,333333333333333;0;14
A113c;1;113;3;1095;2;0,666666666666667;0;15
A113c;1;113;3;1095;15;5,000000000000000;1;16
A113c;1;113;3;1095;2;0,666666666666667;0;17
A113c;1;113;3;1095;2;0,666666666666667;0;18
A113c;1;113;3;854;1;0,333333333333333;0;19
A113c;1;113;3;1095;1;0,333333333333333;0;20
A113c;1;113;3;1095;2;0,666666666666667;0;21
A113c;1;113;3;1095;1;0,333333333333333;0;22
A113c;1;113;3;1095;3;1,000000000000000;0;23
A113c;1;113;3;961;1;0,333333333333333;0;24
A113c;1;113;3;931;1;0,333333333333333;0;25
A113c;1;113;3;1095;10;3,333333333333333;1;26
A113c;1;113;3;1095;10;3,333333333333333;1;27
A113c;1;113;3;1095;2;0,666666666666667;0;28
A113c;1;113;3;1095;3;1,000000000000000;0;29
A113c;1;113;3;1095;20;6,666666666666667;1;30
A114t;1;114;20;1095;92;4,600000000000000;1;1
A114t;1;114;20;1095;97;4,850000000000000;1;2
A114t;1;114;20;1095;117;5,850000000000000;1;3
A114t;1;114;20;1095;154;7,700000000000000;1;4
A114t;1;114;20;1095;120;6,000000000000000;1;5
A114t;1;114;20;1095;58;2,900000000000000;1;6
A114t;1;114;20;1095;44;2,200000000000000;1;7
A114t;1;114;20;1095;74;3,700000000000000;1;8
A114t;1;114;20;1095;62;3,100000000000000;1;9
A114t;1;114;20;1095;70;3,500000000000000;1;10
